coda_polish_wordforms	frequency
V	4939274
O	1365594
N	996958
J	395944
O-O	140874
L	56022
R	30796
N-O	8194
R-O	7121
O-N	4040
L-O	3249
O-L	1674
N-N	1440
O-O-O	1397
J-O	1270
O-R	909
R-N	903
R-O-O	893
L-L	810
N-O-O	765
R-O-O-O	700
L-N	347
J-N	303
L-O-O	220
N-O-O-O	218
J-O-O	170
R-L	148
O-O-O-O	143
L-O-O-O	106
O-O-R	63
O-O-N	58
J-O-O-O	49
R-N-O-O	45
N-O-R	44
J-L	38
L-O-L	34
O-N-O	31
N-L	30
N-R	29
R-O-L	22
R-O-N	21
R-R	19
R-L-O	17
R-N-O	16
O-O-L	16
L-O-R	15
L-L-O	15
O-J	14
L-O-N	12
N-O-L	10
J-R	4
R-O-O-O-O	4
O-R-O	4
O-L-N	4
O-R-O-O	2
O-R-N	2
L-O-O-R	2
L-N-N	1
N-O-O-O-O	1
J-O-O-R	1
L-L-N	1
L-N-O-O	1
R-N-N	1
R-O-O-N	1
