coda_russian_wordforms	frequency
V	2700472
O	654887
N	610765
J	584707
L	23757
O-O	9403
R	4536
N-O	1399
O-N	1374
R-O	1062
O-R	678
O-O-O	381
L-O	342
J-O	222
R-N	202
O-O-O-O	198
O-L	196
R-O-O-O	164
N-O-O-O	163
N-N	161
L-O-O-O	159
N-O-O	137
J-N	130
L-L	121
R-O-O	93
N-O-R	80
J-O-O-O	74
O-O-R	73
L-N	51
J-L	42
R-L	37
J-O-O	33
L-O-O	26
L-O-R	20
N-O-O-O-O	19
J-N-O	16
O-N-O	14
J-R	13
O-O-L	11
R-O-L	10
N-R	9
R-R	7
O-O-N	7
N-O-L	5
N-L	4
O-J	4
J-O-L	3
R-J	3
L-O-L	2
N-J	2
L-J	2
O-R-O-O	2
O-O-R-O	2
N-O-O-O-O-O	1
R-O-N	1
N-O-N	1
R-O-O-O-O	1
N-O-O-R	1
L-N-O	1
R-L-O	1
O-O-O-R	1
R-N-O-O	1
