frequency_manner_all_codas
V	4939713
O	1367194
N	997139
J	395961
O-O	143180
L	56040
R	30843
N-O	8442
R-O	7183
O-N	4206
L-O	3350
O-L	1782
O-O-O	1658
N-N	1456
J-O	1270
O-R	986
R-N	963
R-O-O	893
L-L	812
N-O-O	766
R-O-O-O	700
L-N	349
J-N	303
L-O-O	220
N-O-O-O	218
R-L	204
J-O-O	170
O-O-O-O	159
O-O-R	153
L-O-O-O	106
O-O-N	76
O-N-O	61
J-O-O-O	49
O-J	46
N-O-R	45
R-L-O	45
R-N-O-O	45
R-R	42
J-L	38
O-R-O	34
L-O-L	34
N-L	30
O-R-R	29
N-R	29
R-O-N	23
R-O-L	22
R-N-O	16
O-O-L	16
L-O-R	15
L-L-O	15
O-L-O	15
N-J-O	14
L-O-N	12
N-O-L	10
O-N-L	9
J-R	5
R-O-O-O-O	4
O-L-N	4
O-R-O-O	2
O-R-N	2
L-O-O-R	2
L-N-N	1
N-O-O-O-O	1
J-O-O-R	1
R-O-R	1
L-L-N	1
L-N-O-O	1
R-N-N	1
R-O-O-N	1
