frequency_manner_all_onsets
O	3142573
N	1751905
V	881224
O-O	771616
R	327732
O-R	318333
O-L	205931
L	172986
J	96422
O-N	95539
O-O-R	62164
O-O-O	58346
O-O-L	29249
O-O-N	8298
N-L	7409
N-R	5281
O-R-O	4059
O-J	4033
O-O-O-O	2645
R-O	2571
N-N	2196
N-O	2196
O-O-O-R	2194
L-O	1487
N-O-L	1326
O-N-R	1306
N-O-O	1279
O-O-O-L	731
O-O-J	597
O-N-N	556
O-O-R-O	523
O-L-O	522
L-N	442
O-R-N	420
L-O-O-N	402
L-O-N	383
O-N-O	243
O-O-L-N	240
R-O-N	229
O-N-L	188
N-O-N	152
O-O-O-N	121
O-L-N	115
O-R-O-N	87
O-R-L	84
O-O-R-N	80
O-N-O-L	80
R-N	74
R-O-O	70
L-O-O	67
L-L	49
N-R-O	44
O-O-N-R	39
O-O-N-O	30
O-O-R-R	29
O-O-L-O	28
O-R-L-O	28
R-O-O-O	28
O-R-R	27
L-O-R	18
O-N-O-O	18
R-N-O	16
N-R-R	16
N-O-O-O-O	16
O-N-J-O	14
L-R	14
N-N-O	14
N-O-O-O	14
O-N-O-R	12
N-O-R	12
N-J-R	12
O-O-N-L	9
J-N	9
N-J-O	4
L-O-L	2
O-L-L	2
R-O-R	2
R-R	1
R-R-R	1
O-R-O-R	1
O-R-R-R	1
