frequency_manner_monosyllabic_codas
O	26037
O-O	7411
N	3935
V	3688
N-O	3091
L	3084
R-O	2495
L-O	1558
R	1413
J	1402
J-O	899
O-L	638
O-N	627
R-O-O	574
L-L	571
N-O-O	412
O-O-O	397
O-R	327
N-N	281
R-N	275
L-O-O	145
J-N	144
L-N	131
J-O-O	121
R-O-O-O	68
R-L	61
O-O-N	55
R-N-O-O	45
O-O-R	39
J-L	34
O-N-O	31
N-O-R	30
N-L	23
O-O-O-O	17
R-O-N	17
R-L-O	17
R-N-O	16
L-L-O	15
N-O-O-O	14
O-J	14
N-R	13
R-R	12
R-O-L	12
L-O-N	10
L-O-L	10
O-O-L	10
L-O-R	7
N-O-L	5
O-R-O	4
O-L-N	4
J-R	3
J-O-O-O	2
O-R-O-O	2
O-R-N	2
L-O-O-R	2
L-N-N	1
J-O-O-R	1
R-O-O-O-O	1
L-L-N	1
L-N-O-O	1
R-N-N	1
R-O-O-N	1
