frequency_manner_monosyllabic_onsets
O	22375
O-O	8666
O-R	6467
O-L	4562
O-N	3002
V	2554
N	2527
L	2111
R	1834
O-O-O	1271
O-O-R	1044
J	917
O-O-L	428
O-O-N	303
R-O	263
O-R-O	255
N-O	241
L-O	175
N-R	158
N-O-L	129
N-L	113
N-O-O	98
O-O-O-R	84
O-O-O-O	68
N-N	56
O-R-N	48
L-O-O-N	45
O-J	38
O-N-R	33
O-L-O	33
L-N	32
L-O-N	30
R-N	28
R-O-O	28
O-O-L-N	27
O-O-O-L	21
O-N-O	21
O-R-R	18
R-O-N	17
O-N-O-O	15
O-L-N	15
O-O-O-N	13
O-O-L-O	11
N-O-N	10
O-R-O-N	10
O-O-J	8
O-N-O-L	8
O-N-O-R	7
N-O-R	7
N-J-R	7
J-N	5
O-O-R-O	5
N-J-O	4
O-N-L	3
O-N-N	2
O-R-L	2
L-O-O	2
R-R	1
R-R-R	1
O-R-R-R	1
