onset_polish_wordforms	frequency
O	3142218
N	1751863
V	881224
O-O	770348
R	327718
O-R	318268
O-L	205913
L	172958
J	96408
O-N	95436
O-O-R	62108
O-O-O	56414
O-O-L	29173
O-O-N	8172
N-L	7409
N-R	5267
O-R-O	4041
O-J	4016
R-O	2529
O-O-O-O	2426
N-N	2180
O-O-O-R	2104
N-O	1969
L-O	1424
O-N-R	1306
N-O-L	1296
N-O-O	1000
O-O-O-L	731
O-O-J	565
O-N-N	540
O-O-R-O	493
L-N	426
O-L-O	421
L-O-O-N	402
L-O-N	381
O-R-N	360
O-O-L-N	240
R-O-N	211
O-N-L	188
N-O-N	132
O-L-N	113
O-O-O-N	103
O-R-O-N	85
O-O-R-N	80
O-N-O-L	80
L-L	49
O-O-N-R	39
R-N	28
O-R-L	28
R-O-O	28
O-N-O	25
O-R-R	20
O-N-O-O	17
O-R-â-N-O	16
O-R-í-N	16
O-R-â-O	14
O-á-O	14
L-O-O	14
O-O-L-O	13
O-N-O-R	11
N-O-R	11
N-J-R	11
J-N	9
N-J-O	4
R-R	1
R-R-R	1
O-R-R-R	1
